,feature,importance,feature_type
437,median_20170710T082011_B05,3,median_B05
438,median_20170710T082011_B06,1,median_B06
439,median_20170710T082011_B08,6,median_B08
440,median_20170710T082011_NDVI,0,median_NDVI
441,median_20170715T081609_B02,1,median_B02
442,median_20170715T081609_B03,3,median_B03
443,median_20170715T081609_B04,4,median_B04
444,median_20170715T081609_B05,6,median_B05
445,median_20170715T081609_B06,2,median_B06
446,median_20170715T081609_B08,0,median_B08
447,median_20170715T081609_NDVI,1,median_NDVI
448,median_20170804T081559_B02,4,median_B02
449,median_20170804T081559_B03,2,median_B03
450,median_20170804T081559_B04,2,median_B04
451,median_20170804T081559_B05,10,median_B05
452,median_20170804T081559_B06,6,median_B06
453,median_20170804T081559_B08,0,median_B08
454,median_20170804T081559_NDVI,3,median_NDVI
455,median_20170819T082011_B02,4,median_B02
456,median_20170819T082011_B03,3,median_B03
457,median_20170819T082011_B04,7,median_B04
458,median_20170819T082011_B05,5,median_B05
459,median_20170819T082011_B06,3,median_B06
460,median_20170819T082011_B08,2,median_B08
461,median_20170819T082011_NDVI,2,median_NDVI
462,min_20170101T082332_B02,13,min_B02
463,min_20170101T082332_B03,7,min_B03
464,min_20170101T082332_B04,6,min_B04
465,min_20170101T082332_B05,12,min_B05
466,min_20170101T082332_B06,10,min_B06
467,min_20170101T082332_B08,14,min_B08
468,min_20170101T082332_NDVI,19,min_NDVI
469,min_20170131T082151_B02,14,min_B02
470,min_20170131T082151_B03,8,min_B03
471,min_20170131T082151_B04,11,min_B04
472,min_20170131T082151_B05,15,min_B05
473,min_20170131T082151_B06,3,min_B06
474,min_20170131T082151_B08,8,min_B08
475,min_20170131T082151_NDVI,3,min_NDVI
476,min_20170210T082051_B02,11,min_B02
477,min_20170210T082051_B03,2,min_B03
478,min_20170210T082051_B04,3,min_B04
479,min_20170210T082051_B05,11,min_B05
480,min_20170210T082051_B06,5,min_B06
481,min_20170210T082051_B08,9,min_B08
482,min_20170210T082051_NDVI,3,min_NDVI
483,min_20170312T082001_B02,19,min_B02
484,min_20170312T082001_B03,19,min_B03
485,min_20170312T082001_B04,15,min_B04
486,min_20170312T082001_B05,21,min_B05
487,min_20170312T082001_B06,1,min_B06
488,min_20170312T082001_B08,1,min_B08
489,min_20170312T082001_NDVI,8,min_NDVI
490,min_20170322T081611_B02,15,min_B02
491,min_20170322T081611_B03,7,min_B03
492,min_20170322T081611_B04,6,min_B04
493,min_20170322T081611_B05,7,min_B05
494,min_20170322T081611_B06,18,min_B06
495,min_20170322T081611_B08,9,min_B08
496,min_20170322T081611_NDVI,8,min_NDVI
497,min_20170531T082011_B02,13,min_B02
498,min_20170531T082011_B03,13,min_B03
499,min_20170531T082011_B04,13,min_B04
500,min_20170531T082011_B05,6,min_B05
501,min_20170531T082011_B06,4,min_B06
502,min_20170531T082011_B08,4,min_B08
503,min_20170531T082011_NDVI,11,min_NDVI
504,min_20170620T082011_B02,1,min_B02
505,min_20170620T082011_B03,1,min_B03
506,min_20170620T082011_B04,1,min_B04
507,min_20170620T082011_B05,6,min_B05
508,min_20170620T082011_B06,0,min_B06
509,min_20170620T082011_B08,2,min_B08
510,min_20170620T082011_NDVI,3,min_NDVI
511,min_20170710T082011_B02,4,min_B02
512,min_20170710T082011_B03,1,min_B03
513,min_20170710T082011_B04,0,min_B04
514,min_20170710T082011_B05,1,min_B05
515,min_20170710T082011_B06,1,min_B06
516,min_20170710T082011_B08,2,min_B08
517,min_20170710T082011_NDVI,2,min_NDVI
518,min_20170715T081609_B02,1,min_B02
519,min_20170715T081609_B03,3,min_B03
520,min_20170715T081609_B04,1,min_B04
521,min_20170715T081609_B05,2,min_B05
522,min_20170715T081609_B06,2,min_B06
523,min_20170715T081609_B08,2,min_B08
524,min_20170715T081609_NDVI,3,min_NDVI
525,min_20170804T081559_B02,0,min_B02
526,min_20170804T081559_B03,2,min_B03
527,min_20170804T081559_B04,1,min_B04
528,min_20170804T081559_B05,2,min_B05
529,min_20170804T081559_B06,2,min_B06
530,min_20170804T081559_B08,5,min_B08
531,min_20170804T081559_NDVI,9,min_NDVI
532,min_20170819T082011_B02,5,min_B02
533,min_20170819T082011_B03,4,min_B03
534,min_20170819T082011_B04,0,min_B04
535,min_20170819T082011_B05,2,min_B05
536,min_20170819T082011_B06,3,min_B06
537,min_20170819T082011_B08,11,min_B08
538,min_20170819T082011_NDVI,7,min_NDVI
539,std_20170101T082332_B02,4,std_B02
540,std_20170101T082332_B03,3,std_B03
541,std_20170101T082332_B04,2,std_B04
542,std_20170101T082332_B05,1,std_B05
543,std_20170101T082332_B06,5,std_B06
544,std_20170101T082332_B08,2,std_B08
545,std_20170101T082332_NDVI,4,std_NDVI
546,std_20170131T082151_B02,8,std_B02
547,std_20170131T082151_B03,4,std_B03
548,std_20170131T082151_B04,3,std_B04
549,std_20170131T082151_B05,9,std_B05
550,std_20170131T082151_B06,6,std_B06
551,std_20170131T082151_B08,1,std_B08
552,std_20170131T082151_NDVI,3,std_NDVI
553,std_20170210T082051_B02,1,std_B02
554,std_20170210T082051_B03,8,std_B03
555,std_20170210T082051_B04,0,std_B04
556,std_20170210T082051_B05,4,std_B05
557,std_20170210T082051_B06,11,std_B06
558,std_20170210T082051_B08,15,std_B08
559,std_20170210T082051_NDVI,4,std_NDVI
560,std_20170312T082001_B02,12,std_B02
561,std_20170312T082001_B03,3,std_B03
562,std_20170312T082001_B04,2,std_B04
563,std_20170312T082001_B05,5,std_B05
564,std_20170312T082001_B06,6,std_B06
565,std_20170312T082001_B08,13,std_B08
566,std_20170312T082001_NDVI,1,std_NDVI
567,std_20170322T081611_B02,5,std_B02
568,std_20170322T081611_B03,3,std_B03
569,std_20170322T081611_B04,1,std_B04
570,std_20170322T081611_B05,1,std_B05
571,std_20170322T081611_B06,4,std_B06
572,std_20170322T081611_B08,13,std_B08
573,std_20170322T081611_NDVI,0,std_NDVI
574,std_20170531T082011_B02,1,std_B02
575,std_20170531T082011_B03,1,std_B03
